LGA_NAME21,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Wagait,0.071747741,9,27.80285116,0,23.79586512,0,0,28,0,0.002562419,F,0.321428571,E,0.99295897,A,0,F,0.849852326,A,0.002562419,F,0.657193771,C,0.424926163,D
Wagga Wagga,0.169798198,7,22.46271419,0,22.88735458,1,0,28,0,0.006064221,F,0.25,E,0.802239792,B,0,F,0.817405521,B,0.006064221,F,0.526119896,C,0.40870276,D
Wagin,0.064128353,1,9.19200915,0,13.39522684,0,0,17,0,0.003772256,F,0.058823529,F,0.540706421,C,0,F,0.78795452,B,0.003772256,F,0.299764975,E,0.39397726,D
Wakefield,0.284948861,5,25.62839928,0,27.31623395,0,0,34,0,0.008380849,F,0.147058824,F,0.75377645,B,0,F,0.803418646,B,0.008380849,F,0.450417637,D,0.401709323,D
Walcha,0.640253401,10,41.71848688,0,40.29592401,3,0,48,0,0.013338613,F,0.208333333,E,0.869135143,A,0,F,0.839498417,A,0.013338613,F,0.538734238,C,0.419749208,D
Walgett,0.130327693,1,12.7241002,0,15.02088279,1,0,17,0,0.007666335,F,0.058823529,F,0.748476482,B,0,F,0.883581341,A,0.007666335,F,0.403650006,D,0.44179067,D
Walkerville,0.115393893,1,11.21715385,0,14.23303977,0,0,16,0,0.007212118,F,0.0625,F,0.701072116,B,0,F,0.889564985,A,0.007212118,F,0.381786058,D,0.444782493,D
Wandering,0.663890496,6,14.9650155,0,17.17066425,0,0,19,0,0.034941605,F,0.315789474,E,0.787632395,B,0,F,0.903719171,A,0.034941605,F,0.551710934,C,0.451859586,D
Wangaratta,0.774668402,8,32.05577754,0,33.87073721,0,0,42,0,0.018444486,F,0.19047619,E,0.763232798,B,0,F,0.806446124,B,0.018444486,F,0.476854494,D,0.403223062,D
Wanneroo,0.428021715,9,25.5272956,0,26.63697966,1,0,32,0,0.013375679,F,0.28125,E,0.797727987,B,0,F,0.832405614,B,0.013375679,F,0.539488994,C,0.416202807,D
Waratah-Wynyard,1.414118829,16,39.18681937,0,39.80803486,0,0,46,0,0.030741714,F,0.347826087,D,0.851887378,A,0,F,0.865392062,A,0.030741714,F,0.599856732,C,0.432696031,D
Waroona,0.590937124,10,35.94786543,0,34.93272177,0,0,44,0,0.013430389,F,0.227272727,E,0.816996942,B,0,F,0.793925495,B,0.013430389,F,0.522134834,C,0.396962747,D
Warren,0.18508681,2,13.62077753,0,16.62072641,1,0,19,0,0.009741411,F,0.105263158,F,0.716883028,B,0,F,0.874775074,A,0.009741411,F,0.411073093,D,0.437387537,D
Warrnambool,0.204877774,9,41.53011824,0,37.28760191,0,0,44,0,0.004656313,F,0.204545455,E,0.943866324,A,0,F,0.847445498,A,0.004656313,F,0.574205889,C,0.423722749,D
Warrumbungle Shire,0.281576284,8,27.89506384,0,29.13325504,1,0,34,0,0.008281655,F,0.235294118,E,0.820443054,B,0,F,0.856860442,A,0.008281655,F,0.527868586,C,0.428430221,D
Wattle Range,0.250443571,10,43.81956544,0,41.09584582,0,0,49,0,0.005111093,F,0.204081633,E,0.894276846,A,0,F,0.838690731,A,0.005111093,F,0.549179239,C,0.419345366,D
Waverley,0.229748398,11,45.92470095,0,41.64578366,1,0,49,0,0.004688743,F,0.224489796,E,0.937238795,A,0,F,0.849913952,A,0.004688743,F,0.580864295,C,0.424956976,D
Weddin,0.078166805,3,11.35760578,0,11.53332047,1,0,14,0,0.005583343,F,0.214285714,E,0.811257556,B,0,F,0.823808605,B,0.005583343,F,0.512771635,C,0.411904302,D
