Elect_div,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,num_sp_endemic,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Bradfield,0.722348649,13,57.212596,0,56.98734804,1,0,0,68,0,0.010622774,F,0.191176471,E,0.841361706,A,0,F,0.838049236,A,0.010622774,F,0.516269088,C,0.419024618,D
Brand,0.590937124,9,35.8965495,0,31.01588913,0,0,0,40,0,0.014773428,F,0.225,E,0.897413737,A,0,F,0.775397228,B,0.014773428,F,0.561206869,C,0.387698614,D
Brisbane,1.193762866,11,39.33658894,0,34.42067505,1,0,0,42,0,0.028422925,F,0.261904762,E,0.936585451,A,0,F,0.819539882,B,0.028422925,F,0.599245106,C,0.409769941,D
Bruce,0.121313518,5,23.4479504,0,21.94603754,0,0,0,25,0,0.004852541,F,0.2,E,0.937918016,A,0,F,0.877841501,A,0.004852541,F,0.568959008,C,0.438920751,D
Burt,0.306221907,4,21.00433684,0,31.52793585,3,0,1,42,0,0.007290998,F,0.095238095,F,0.500103258,C,0,F,0.750665139,B,0.007290998,F,0.297670677,E,0.37533257,D
Calare,4.518251337,13,78.66492541,0,87.97043067,4,0,14,105,0,0.043030965,F,0.123809524,F,0.749189766,B,0,F,0.837813625,A,0.043030965,F,0.436499645,D,0.418906813,D
Calwell,0.277543958,9,23.06046763,0,24.8457709,0,0,0,30,0,0.009251465,F,0.3,E,0.768682254,B,0,F,0.828192363,B,0.009251465,F,0.534341127,C,0.414096182,D
Canberra,0.184220261,8,24.48798922,0,26.87488484,1,0,0,33,0,0.005582432,F,0.242424242,E,0.742060279,B,0,F,0.81439045,B,0.005582432,F,0.492242261,D,0.407195225,D
Canning,1.035618093,11,41.02347474,0,48.94858407,1,0,2,62,0,0.016703518,F,0.177419355,E,0.661668947,C,0,F,0.789493291,B,0.016703518,F,0.419544151,D,0.394746646,D
Capricornia,0.205591273,10,51.12201952,1,67.77942965,2,1,4,78,1,0.002635786,F,0.128205128,F,0.655410507,C,0.012658228,F,0.857967464,A,0.002635786,F,0.391807817,D,0.435312846,D
Casey,2.387883816,8,35.7620874,0,36.57910544,0,0,1,47,0,0.050806039,F,0.170212766,E,0.760895477,B,0,F,0.778278839,B,0.050806039,F,0.465554121,D,0.38913942,D
Chifley,0.15032682,5,22.02400428,0,24.96643842,1,0,0,29,0,0.005183683,F,0.172413793,E,0.759448423,B,0,F,0.86091167,A,0.005183683,F,0.465931108,D,0.430455835,D
Chisholm,0.120811041,6,21.25561088,0,19.68766734,0,0,0,24,0,0.005033793,F,0.25,E,0.885650453,A,0,F,0.820319473,B,0.005033793,F,0.567825227,C,0.410159736,D
Clark,1.545580936,13,40.45054895,1,43.28714684,0,0,0,53,1,0.029161904,F,0.245283019,E,0.763217905,B,0.018518519,F,0.80161383,B,0.029161904,F,0.504250462,C,0.410066174,D
Cook,1.287555009,12,58.22003016,0,55.50817194,1,0,0,65,0,0.019808539,F,0.184615385,E,0.895692772,A,0,F,0.853971876,A,0.019808539,F,0.540154078,C,0.426985938,D
Cooper,0.247543754,6,22.04038973,0,23.97515148,0,0,0,28,0,0.008840848,F,0.214285714,E,0.787156776,B,0,F,0.85625541,A,0.008840848,F,0.500721245,C,0.428127705,D
Corangamite,0.25844735,12,52.69687198,0,52.07922845,0,0,0,63,0,0.004102339,F,0.19047619,E,0.836458285,A,0,F,0.82665442,B,0.004102339,F,0.513467238,C,0.41332721,D
Corio,0.390320258,12,47.32436252,0,47.362474,0,0,0,58,0,0.00672966,F,0.206896552,E,0.815937285,B,0,F,0.816594379,B,0.00672966,F,0.511416918,C,0.40829719,D
Cowan,0.519413262,4,21.28780683,0,19.66185501,0,0,0,26,0,0.019977433,F,0.153846154,F,0.818761801,B,0,F,0.756225193,B,0.019977433,F,0.486303978,D,0.378112596,D
Cowper,2.368189242,13,75.26818906,0,74.29940753,3,0,1,89,0,0.026608868,F,0.146067416,F,0.845709989,A,0,F,0.834824804,A,0.026608868,F,0.495888703,D,0.417412402,D
Cunningham,1.082673005,17,71.19312948,0,70.70834108,2,0,0,82,0,0.013203329,F,0.207317073,E,0.868208896,A,0,F,0.862296842,A,0.013203329,F,0.537762985,C,0.431148421,D
